0,1,2
A,1,0.5346
A,1,0.7519
A,1,0.7572
A,1,0.6377
A,1,0.4570
A,1,0.6686
A,1,0.5673
A,1,0.7942
A,1,0.7261
A,1,0.2842
A,1,0.5717
A,2,0.5775
A,2,0.5473
A,2,0.7039
A,2,0.4578
A,2,0.5120
A,2,0.6883
A,2,0.7695
A,2,0.5963
A,2,0.5325
A,2,0.6344
A,2,0.5954
A,3,0.6817
A,3,0.7093
A,3,0.5791
A,3,0.4931
A,3,0.5760
A,3,0.6763
A,3,0.6597
A,3,0.5648
A,3,0.4964
A,3,0.6282
A,3,0.5825
B,1,0.6076
B,1,0.4318
B,1,0.5871
B,1,0.6842
B,1,0.6825
B,1,0.4859
B,1,0.7847
B,1,0.4693
B,1,0.6079
B,1,0.5580
B,1,0.6511
B,1,0.7866
B,2,0.6639
B,2,0.5089
B,2,0.5785
B,2,0.6407
B,2,0.5796
B,2,0.5570
B,2,0.6313
B,2,0.7045
B,2,0.5595
B,2,0.6936
B,2,0.6344
B,2,0.7347
B,3,0.5042
B,3,0.5625
B,3,0.6716
B,3,0.7254
B,3,0.6203
B,3,0.8454
B,3,0.7673
B,3,0.5659
B,3,0.5155
B,3,0.7710
B,3,0.3705
B,3,0.7525
