0,1,2
A,1,0.4614
A,1,0.6500
A,1,0.4102
A,1,0.3541
A,1,0.8743
A,1,0.2677
A,1,0.6536
A,1,0.6567
A,1,0.5119
A,1,0.5000
A,1,0.7865
A,2,0.6726
A,2,0.7703
A,2,0.7720
A,2,0.4800
A,2,0.7965
A,2,0.5941
A,2,0.5449
A,2,0.4841
A,2,0.2552
A,2,0.5000
A,2,0.6349
A,3,0.5231
A,3,0.8176
A,3,0.7944
A,3,0.6121
A,3,0.6875
A,3,0.4829
A,3,0.6743
A,3,0.5905
A,3,0.2304
A,3,0.5000
A,3,0.5882
B,1,0.6025
B,1,0.4978
B,1,0.8705
B,1,0.5466
B,1,0.6245
B,1,0.5193
B,1,0.4757
B,1,0.5425
B,1,0.6828
B,1,0.3365
B,1,0.5306
B,1,0.5116
B,2,0.4632
B,2,0.6532
B,2,0.8028
B,2,0.7034
B,2,0.7226
B,2,0.5616
B,2,0.7121
B,2,0.5732
B,2,0.6614
B,2,0.3822
B,2,0.5102
B,2,0.5907
B,3,0.5909
B,3,0.3511
B,3,0.8125
B,3,0.6607
B,3,0.5760
B,3,0.5858
B,3,0.5963
B,3,0.5758
B,3,0.5354
B,3,0.3417
B,3,0.4227
B,3,0.6959
