0,1,2
A,1,0.9147
A,1,0.6103
A,1,1.1179
A,1,0.8323
A,1,0.7659
A,1,1.2572
A,1,0.8698
A,1,0.8314
A,1,0.7476
A,1,0.6962
A,1,0.8876
A,2,0.7575
A,2,1.0295
A,2,1.2369
A,2,0.9589
A,2,0.8787
A,2,1.1767
A,2,0.9801
A,2,1.2624
A,2,1.0593
A,2,0.8482
A,2,0.9487
A,3,0.7282
A,3,1.3432
A,3,0.8084
A,3,0.6438
A,3,0.4449
A,3,1.0573
A,3,0.9251
A,3,1.1525
A,3,1.2094
A,3,0.8310
A,3,0.7464
B,1,1.1016
B,1,0.6710
B,1,0.8413
B,1,0.9464
B,1,0.8190
B,1,0.9241
B,1,1.1419
B,1,1.1015
B,1,1.0143
B,1,0.8842
B,1,0.7165
B,1,1.1155
B,2,0.6376
B,2,0.6118
B,2,0.8029
B,2,0.8664
B,2,0.6372
B,2,0.6928
B,2,0.7297
B,2,0.6603
B,2,0.4973
B,2,0.5218
B,2,0.6167
B,2,0.8867
B,3,0.8012
B,3,0.6911
B,3,0.6525
B,3,0.9860
B,3,0.5667
B,3,1.2003
B,3,0.7958
B,3,0.4655
B,3,0.6892
B,3,0.8604
B,3,0.5269
B,3,0.6024
