0,1,2
A,1,0.4775
A,1,0.7532
A,1,0.5237
A,1,0.4223
A,1,0.7078
A,1,0.4644
A,1,0.6477
A,1,0.6503
A,1,0.3568
A,1,0.5000
A,1,0.6906
A,2,0.5525
A,2,0.7861
A,2,0.5512
A,2,0.4746
A,2,0.6628
A,2,0.5013
A,2,0.5958
A,2,0.5014
A,2,0.2057
A,2,0.5000
A,2,0.6618
A,3,0.5625
A,3,0.8007
A,3,0.5471
A,3,0.5210
A,3,0.6279
A,3,0.4928
A,3,0.5686
A,3,0.4953
A,3,0.1608
A,3,0.5000
A,3,0.5693
B,1,0.5896
B,1,0.5428
B,1,0.8100
B,1,0.5515
B,1,0.6409
B,1,0.5069
B,1,0.5611
B,1,0.5858
B,1,0.5181
B,1,0.3889
B,1,0.5791
B,1,0.5023
B,2,0.4878
B,2,0.6166
B,2,0.8272
B,2,0.5268
B,2,0.7119
B,2,0.5586
B,2,0.6572
B,2,0.5749
B,2,0.6435
B,2,0.3561
B,2,0.4784
B,2,0.7361
B,3,0.4878
B,3,0.4711
B,3,0.8570
B,3,0.5716
B,3,0.6133
B,3,0.5784
B,3,0.6327
B,3,0.6244
B,3,0.5694
B,3,0.5031
B,3,0.5892
B,3,0.6769
