0,1,2
A,1,0.1244
A,1,0.3249
A,1,0.2558
A,1,0.0000
A,1,0.0046
A,1,0.2673
A,1,0.1843
A,1,0.1083
A,1,0.4539
A,1,0.5161
A,1,0.0000
A,2,0.1819
A,2,0.2368
A,2,0.4165
A,2,0.2883
A,2,0.0252
A,2,0.4222
A,2,0.2597
A,2,0.0023
A,2,0.9737
A,2,0.1499
A,2,0.2471
A,3,0.0000
A,3,0.0000
A,3,0.0455
A,3,0.0000
A,3,0.0142
A,3,0.0000
A,3,0.0000
A,3,0.0426
A,3,0.0000
A,3,0.0000
A,3,0.0000
B,1,0.0000
B,1,0.0632
B,1,0.0055
B,1,0.0000
B,1,0.0000
B,1,0.0000
B,1,0.0000
B,1,0.0440
B,1,0.2418
B,1,0.5632
B,1,0.0467
B,1,0.0027
B,2,0.0092
B,2,0.2431
B,2,0.2844
B,2,0.2881
B,2,0.3532
B,2,0.2596
B,2,0.2037
B,2,0.1009
B,2,0.0945
B,2,0.3743
B,2,0.1697
B,2,0.1431
B,3,0.2338
B,3,1.0000
B,3,0.0000
B,3,0.3632
B,3,1.0000
B,3,1.0000
B,3,0.5746
B,3,0.0896
B,3,0.2015
B,3,0.0000
B,3,0.0000
B,3,0.1393
