time,x,y
0.0,11,474
0.5,11,474
1.0,11,474
1.5,11,474
2.0,11,474
2.5,11,474
3.0,11,474
3.5,11,474
4.0,11,474
4.5,11,474
5.0,11,474
5.5,11,474
6.0,11,474
6.5,11,474
7.0,11,474
7.5,11,474
8.5,11,474
8.0,11,474
9.5,11,474
9.0,11,474
10.5,11,474
10.0,11,474
11.5,11,474
11.0,11,474
12.5,11,474
12.0,11,474
13.5,11,474
13.0,11,474
14.5,11,474
14.0,11,474
15.5,11,474
15.0,11,474
17.0,11,474
17.5,11,474
16.0,11,474
16.5,11,474
19.0,11,474
19.5,11,474
18.0,11,474
18.5,11,474
21.0,11,474
21.5,11,474
20.0,11,474
20.5,11,474
23.0,11,474
23.5,11,474
22.0,11,474
22.5,11,474
25.5,11,474
25.0,11,474
24.5,11,474
24.0,11,474
27.5,11,474
27.0,11,474
26.5,11,474
26.0,11,474
29.5,11,474
29.0,11,474
28.5,11,474
28.0,11,474
31.5,11,474
31.0,11,474
30.5,11,474
30.0,11,474
34.0,11,474
34.5,11,474
35.0,11,474
35.5,11,474
32.0,11,474
32.5,11,474
33.0,11,474
33.5,11,474
38.0,11,474
38.5,11,474
39.0,11,474
39.5,11,474
36.0,11,474
36.5,11,474
37.0,11,474
37.5,11,474
42.5,11,474
42.0,11,474
43.0,11,474
40.5,11,474
40.0,11,474
41.5,11,474
41.0,11,474
46.5,146,426
46.0,100,451
47.5,174,388
47.0,166,414
44.5,11,474
44.0,11,474
45.5,52,462
45.0,18,470
51.0,123,349
51.5,123,349
50.0,123,349
50.5,123,349
49.0,128,352
49.5,116,345
48.0,174,385
48.5,143,361
55.0,123,349
55.5,124,348
54.0,123,349
54.5,123,349
53.0,123,349
53.5,123,349
52.0,123,349
52.5,123,349
59.5,124,351
59.0,124,351
58.5,124,351
58.0,124,350
57.5,124,350
57.0,124,348
56.5,124,348
56.0,124,348
63.5,129,353
63.0,129,353
62.5,129,353
62.0,126,352
61.5,124,351
61.0,124,351
60.5,124,351
60.0,124,351
68.5,129,353
68.0,129,353
69.5,129,353
69.0,129,353
70.5,129,353
70.0,129,353
71.5,129,353
71.0,129,353
64.5,129,353
64.0,129,353
65.5,129,353
65.0,129,353
66.5,129,353
66.0,129,353
67.5,129,353
67.0,129,353
76.0,129,353
76.5,129,353
77.0,129,353
77.5,129,353
78.0,129,353
78.5,129,353
79.0,129,353
79.5,126,350
72.0,129,353
72.5,129,353
73.0,129,353
73.5,129,353
74.0,129,353
74.5,129,353
75.0,129,353
75.5,129,353
85.5,125,340
85.0,126,340
84.5,126,340
84.0,126,340
87.5,107,323
87.0,116,327
86.5,126,333
86.0,127,338
81.5,126,340
81.0,126,346
80.5,126,346
80.0,126,347
83.5,126,340
83.0,126,340
82.5,126,340
82.0,126,340
93.0,0,298
93.5,0,298
92.0,0,298
92.5,0,298
95.0,0,298
95.5,0,298
94.0,0,298
94.5,0,298
89.0,60,303
89.5,35,301
88.0,99,316
88.5,89,310
91.0,0,298
91.5,0,298
90.0,22,298
90.5,8,298
102.5,113,305
102.0,106,290
103.5,137,296
103.0,122,298
100.5,75,282
100.0,85,280
101.5,91,283
101.0,57,282
98.5,54,285
98.0,15,288
99.5,86,280
99.0,80,281
96.5,0,298
96.0,0,298
97.5,6,287
97.0,0,298
110.0,165,297
110.5,163,299
111.0,163,300
111.5,163,300
108.0,165,297
108.5,165,297
109.0,165,297
109.5,165,297
106.0,161,296
106.5,165,297
107.0,165,297
107.5,165,297
104.0,143,296
104.5,145,296
105.0,151,295
105.5,161,296
119.5,315,305
119.0,315,305
118.5,315,305
118.0,315,305
117.5,315,305
117.0,315,305
116.5,315,305
116.0,311,306
115.5,304,306
115.0,294,306
114.5,270,308
114.0,235,305
113.5,208,308
113.0,181,301
112.5,163,300
112.0,163,300
127.0,315,305
127.5,315,305
126.0,315,305
126.5,315,305
125.0,315,305
125.5,315,305
124.0,315,305
124.5,315,305
123.0,315,305
123.5,315,305
122.0,315,305
122.5,315,305
121.0,315,305
121.5,315,305
120.0,315,305
120.5,315,305
137.5,315,305
137.0,315,305
136.5,315,305
136.0,315,305
139.5,266,289
139.0,275,297
138.5,282,300
138.0,301,302
141.5,254,291
141.0,257,289
140.5,258,288
140.0,261,287
143.5,252,285
143.0,251,284
142.5,251,284
142.0,251,289
129.0,315,305
129.5,315,305
128.0,315,305
128.5,315,305
131.0,315,305
131.5,315,305
130.0,315,305
130.5,315,305
133.0,315,305
133.5,315,305
132.0,315,305
132.5,315,305
135.0,315,305
135.5,315,305
134.0,315,305
134.5,315,305
152.5,250,296
152.0,240,293
153.5,268,306
153.0,263,306
154.5,282,312
154.0,278,309
155.5,309,316
155.0,298,316
156.5,337,309
156.0,330,314
157.5,350,308
157.0,346,309
158.5,352,306
158.0,352,306
159.5,378,294
159.0,369,300
144.0,254,286
144.5,254,286
145.0,254,286
145.5,254,286
146.0,254,286
146.5,256,287
147.0,256,287
147.5,256,287
148.0,255,288
148.5,253,290
149.0,241,286
149.5,241,286
150.0,241,290
150.5,240,293
151.0,240,293
151.5,240,293
171.5,422,290
171.0,422,290
170.5,422,286
170.0,421,287
169.5,419,288
169.0,419,288
168.5,419,288
168.0,419,288
175.5,422,290
175.0,422,290
174.5,422,290
174.0,422,290
173.5,422,290
173.0,422,290
172.5,422,290
172.0,422,290
163.0,423,289
163.5,419,286
162.0,424,291
162.5,424,291
161.0,409,291
161.5,424,291
160.0,383,292
160.5,396,291
167.0,419,288
167.5,419,288
166.0,419,288
166.5,419,288
165.0,419,286
165.5,419,288
164.0,419,286
164.5,419,286
186.5,412,294
186.0,412,294
187.5,412,294
187.0,412,294
184.5,412,294
184.0,412,294
185.5,412,294
185.0,412,294
190.5,407,294
190.0,407,294
191.5,407,294
191.0,407,294
188.5,407,294
188.0,407,294
189.5,407,294
189.0,407,294
178.0,422,290
178.5,422,290
179.0,422,290
179.5,422,290
176.0,422,290
176.5,422,290
177.0,422,290
177.5,422,290
182.0,422,290
182.5,422,291
183.0,422,291
183.5,412,294
180.0,422,290
180.5,422,290
181.0,422,290
181.5,422,290
205.0,401,294
205.5,401,294
204.0,401,294
204.5,401,294
207.0,400,294
207.5,399,294
206.0,401,294
206.5,401,294
201.0,407,294
201.5,407,294
200.0,407,294
200.5,407,294
203.0,407,294
203.5,407,294
202.0,407,294
202.5,407,294
197.5,407,294
197.0,407,294
196.5,407,294
196.0,407,294
199.5,407,294
199.0,407,294
198.5,407,294
198.0,407,294
193.5,407,294
193.0,407,294
192.5,407,294
192.0,407,294
195.5,407,294
195.0,407,294
194.5,407,294
194.0,407,294
220.0,399,294
220.5,399,294
221.0,399,294
221.5,392,292
222.0,386,291
222.5,374,290
223.0,373,290
223.5,373,290
216.0,399,294
216.5,399,294
217.0,399,294
217.5,399,294
218.0,399,294
218.5,399,294
219.0,399,294
219.5,399,294
212.5,399,294
212.0,399,294
213.5,399,294
213.0,399,294
214.5,399,294
214.0,399,294
215.5,399,294
215.0,399,294
208.5,399,294
208.0,399,294
209.5,399,294
209.0,399,294
210.5,399,294
210.0,399,294
211.5,399,294
211.0,399,294
239.0,372,294
239.5,372,294
238.0,373,293
238.5,372,294
237.0,373,293
237.5,373,293
236.0,373,290
236.5,373,290
235.0,373,290
235.5,373,290
234.0,373,290
234.5,373,290
233.0,373,290
233.5,373,290
232.0,373,290
