time,x,y
2200.0,439,347
2200.5,439,347
2201.0,439,347
2201.5,439,347
2202.0,439,347
2202.5,439,347
2203.0,439,347
2203.5,439,347
2204.0,439,347
2204.5,439,347
2205.0,439,347
2205.5,439,347
2206.0,439,347
2206.5,439,347
2207.0,439,347
2207.5,439,347
2192.5,439,347
2192.0,439,347
2193.5,439,347
2193.0,439,347
2194.5,439,347
2194.0,439,347
2195.5,439,347
2195.0,439,347
2196.5,439,347
2196.0,439,347
2197.5,439,347
2197.0,439,347
2198.5,439,347
2198.0,439,347
2199.5,439,347
2199.0,439,347
2185.0,439,347
2185.5,439,347
2184.0,439,347
2184.5,439,347
2187.0,439,347
2187.5,439,347
2186.0,439,347
2186.5,439,347
2189.0,439,347
2189.5,439,347
2188.0,439,347
2188.5,439,347
2191.0,439,347
2191.5,439,347
2190.0,439,347
2190.5,439,347
2177.5,439,347
2177.0,439,347
2176.5,439,347
2176.0,439,347
2179.5,439,347
2179.0,439,347
2178.5,439,347
2178.0,439,347
2181.5,439,347
2181.0,439,347
2180.5,439,347
2180.0,439,347
2183.5,439,347
2183.0,439,347
2182.5,439,347
2182.0,439,347
2234.0,429,349
2234.5,428,349
2235.0,428,349
2235.5,428,349
2232.0,432,349
2232.5,431,350
2233.0,431,350
2233.5,431,350
2238.0,428,349
2238.5,428,349
2239.0,428,349
2239.5,428,349
2236.0,428,349
2236.5,428,349
2237.0,428,349
2237.5,428,349
2226.5,436,347
2226.0,436,347
2227.5,436,347
2227.0,436,347
2224.5,436,347
2224.0,436,347
2225.5,436,347
2225.0,436,347
2230.5,436,347
2230.0,436,347
2231.5,433,349
2231.0,436,347
2228.5,436,347
2228.0,436,347
2229.5,436,347
2229.0,436,347
2219.0,439,347
2219.5,439,347
2218.0,439,347
2218.5,439,347
2217.0,439,347
2217.5,439,347
2216.0,439,347
2216.5,439,347
2223.0,437,347
2223.5,436,347
2222.0,439,347
2222.5,439,347
2221.0,439,347
2221.5,439,347
2220.0,439,347
2220.5,439,347
2211.5,439,347
2211.0,439,347
2210.5,439,347
2210.0,439,347
2209.5,439,347
2209.0,439,347
2208.5,439,347
2208.0,439,347
2215.5,439,347
2215.0,439,347
2214.5,439,347
2214.0,439,347
2213.5,439,347
2213.0,439,347
2212.5,439,347
2212.0,439,347
2268.5,396,345
2268.0,397,345
2269.5,396,346
2269.0,396,346
2270.5,396,346
2270.0,396,346
2271.5,395,346
2271.0,396,346
2264.5,397,345
2264.0,397,345
2265.5,397,345
2265.0,397,345
2266.5,397,345
2266.0,397,345
2267.5,397,345
2267.0,397,345
2260.0,397,345
2260.5,397,345
2261.0,397,345
2261.5,397,345
2262.0,397,345
2262.5,397,345
2263.0,397,345
2263.5,397,345
2256.0,391,345
2256.5,390,345
2257.0,389,345
2257.5,389,345
2258.0,394,345
2258.5,397,345
2259.0,397,345
2259.5,397,345
2253.5,391,346
2253.0,391,346
2252.5,391,346
2252.0,391,346
2255.5,391,345
2255.0,391,345
2254.5,391,345
2254.0,391,345
2249.5,391,348
2249.0,391,348
2248.5,391,349
2248.0,391,351
2251.5,391,348
2251.0,391,348
2250.5,391,348
2250.0,391,348
2245.0,400,341
2245.5,394,340
2244.0,424,348
2244.5,420,346
2247.0,396,343
2247.5,393,349
2246.0,394,340
2246.5,394,340
2241.0,428,349
2241.5,428,349
2240.0,428,349
2240.5,428,349
2243.0,426,348
2243.5,426,348
2242.0,428,349
2242.5,428,349
2302.5,310,381
2302.0,310,381
2303.5,310,381
2303.0,310,381
2300.5,310,381
2300.0,310,381
2301.5,310,381
2301.0,310,381
2298.5,310,381
2298.0,311,378
2299.5,310,381
2299.0,310,381
2296.5,314,370
2296.0,316,369
2297.5,311,377
2297.0,313,376
2294.0,318,355
2294.5,318,355
2295.0,318,360
2295.5,318,364
2292.0,380,348
2292.5,369,349
2293.0,345,351
2293.5,321,353
2290.0,389,348
2290.5,386,348
2291.0,386,348
2291.5,384,348
2288.0,395,346
2288.5,392,346
2289.0,391,346
2289.5,389,347
2287.5,395,346
2287.0,395,346
2286.5,395,346
2286.0,395,346
2285.5,395,346
2285.0,395,346
2284.5,395,346
2284.0,395,346
2283.5,395,346
2283.0,395,346
2282.5,395,346
2282.0,395,346
2281.5,395,346
2281.0,395,346
2280.5,395,346
2280.0,395,346
2279.0,395,346
2279.5,395,346
2278.0,395,346
2278.5,395,346
2277.0,395,346
2277.5,395,346
2276.0,395,346
2276.5,395,346
2275.0,395,346
2275.5,395,346
2274.0,395,346
2274.5,395,346
2273.0,395,346
2273.5,395,346
2272.0,395,346
2272.5,395,346
2065.5,439,347
2065.0,439,347
2064.5,439,347
2064.0,439,347
2067.5,439,347
2067.0,439,347
2066.5,439,347
2066.0,439,347
2069.5,439,347
2069.0,439,347
2068.5,439,347
2068.0,439,347
2071.5,439,347
2071.0,439,347
2070.5,439,347
2070.0,439,347
2073.0,439,347
2073.5,439,347
2072.0,439,347
2072.5,439,347
2075.0,439,347
2075.5,439,347
2074.0,439,347
2074.5,439,347
2077.0,439,347
2077.5,439,347
2076.0,439,347
2076.5,439,347
