part,group,s1,s2,s3
0,A,0.5346,0.5775,0.6817
1,A,0.7519,0.5473,0.7093
2,A,0.7572,0.7039,0.5791
3,A,0.6377,0.4578,0.4931
4,A,0.457,0.512,0.576
5,A,0.6686,0.6883,0.6763
6,A,0.5673,0.7695,0.6597
7,A,0.7942,0.5963,0.5648
8,A,0.7261,0.5325,0.4964
9,A,0.2842,0.6344,0.6282
10,A,0.5717,0.5954,0.5825
11,B,0.6076,0.6639,0.5042
12,B,0.4318,0.5089,0.5625
13,B,0.5871,0.5785,0.6716
14,B,0.6842,0.6407,0.7254
15,B,0.6825,0.5796,0.6203
16,B,0.4859,0.557,0.8454
17,B,0.7847,0.6313,0.7673
18,B,0.4693,0.7045,0.5659
19,B,0.6079,0.5595,0.5155
20,B,0.558,0.6936,0.771
21,B,0.6511,0.6344,0.3705
22,B,0.7866,0.7347,0.7525
