part,group,s1,s2,s3
0,A,0.4614,0.6726,0.5231
1,A,0.65,0.7703,0.8176
2,A,0.4102,0.772,0.7944
3,A,0.3541,0.48,0.6121
4,A,0.8743,0.7965,0.6875
5,A,0.2677,0.5941,0.4829
6,A,0.6536,0.5449,0.6743
7,A,0.6567,0.4841,0.5905
8,A,0.5119,0.2552,0.2304
9,A,0.5,0.5,0.5
10,A,0.7865,0.6349,0.5882
11,B,0.6025,0.4632,0.5909
12,B,0.4978,0.6532,0.3511
13,B,0.8705,0.8028,0.8125
14,B,0.5466,0.7034,0.6607
15,B,0.6245,0.7226,0.576
16,B,0.5193,0.5616,0.5858
17,B,0.4757,0.7121,0.5963
18,B,0.5425,0.5732,0.5758
19,B,0.6828,0.6614,0.5354
20,B,0.3365,0.3822,0.3417
21,B,0.5306,0.5102,0.4227
22,B,0.5116,0.5907,0.6959
