part,group,s1,s2,s3
0,A,0.3335,0.3422,0.2829
1,A,0.3139,0.1695,0.3413
2,A,0.4659,0.3664,0.3871
3,A,0.3704,0.3293,0.4925
4,A,0.212,0.3253,0.2798
5,A,0.2363,0.245,0.3185
6,A,0.0939,0.2028,0.3239
7,A,0.0781,0.1231,0.2745
8,A,0.143,0.0493,0.462
9,A,0.3628,0.6184,0.5641
10,A,0.2255,0.2876,0.3419
11,B,0.291,0.1679,0.3977
12,B,0.1734,0.1661,0.0
13,B,0.6872,0.1085,0.28
14,B,0.1943,0.1219,0.2266
15,B,0.0428,0.0926,0.0
16,B,0.0468,0.1133,0.0
17,B,0.1664,0.1203,0.1698
18,B,0.2764,0.1613,0.1934
19,B,0.3691,0.414,0.4814
20,B,0.3113,0.2651,0.0023
21,B,0.3975,0.1415,0.2263
22,B,0.2749,0.2381,0.4991
