part,group,s1,s2,s3
0,A,0.9147,0.7575,0.7282
1,A,0.6103,1.0295,1.3432
2,A,1.1179,1.2369,0.8084
3,A,0.8323,0.9589,0.6438
4,A,0.7659,0.8787,0.4449
5,A,1.2572,1.1767,1.0573
6,A,0.8698,0.9801,0.9251
7,A,0.8314,1.2624,1.1525
8,A,0.7476,1.0593,1.2094
9,A,0.6962,0.8482,0.831
10,A,0.8876,0.9487,0.7464
11,B,1.1016,0.6376,0.8012
12,B,0.671,0.6118,0.6911
13,B,0.8413,0.8029,0.6525
14,B,0.9464,0.8664,0.986
15,B,0.819,0.6372,0.5667
16,B,0.9241,0.6928,1.2003
17,B,1.1419,0.7297,0.7958
18,B,1.1015,0.6603,0.4655
19,B,1.0143,0.4973,0.6892
20,B,0.8842,0.5218,0.8604
21,B,0.7165,0.6167,0.5269
22,B,1.1155,0.8867,0.6024
