part,group,s1,s2,s3
0,A,0.4775,0.5525,0.5625
1,A,0.7532,0.7861,0.8007
2,A,0.5237,0.5512,0.5471
3,A,0.4223,0.4746,0.521
4,A,0.7078,0.6628,0.6279
5,A,0.4644,0.5013,0.4928
6,A,0.6477,0.5958,0.5686
7,A,0.6503,0.5014,0.4953
8,A,0.3568,0.2057,0.1608
9,A,0.5,0.5,0.5
10,A,0.6906,0.6618,0.5693
11,B,0.5896,0.4878,0.4878
12,B,0.5428,0.6166,0.4711
13,B,0.81,0.8272,0.857
14,B,0.5515,0.5268,0.5716
15,B,0.6409,0.7119,0.6133
16,B,0.5069,0.5586,0.5784
17,B,0.5611,0.6572,0.6327
18,B,0.5858,0.5749,0.6244
19,B,0.5181,0.6435,0.5694
20,B,0.3889,0.3561,0.5031
21,B,0.5791,0.4784,0.5892
22,B,0.5023,0.7361,0.6769
