part,group,s1,s2,s3
0,A,0.1244,0.1819,0.0
1,A,0.3249,0.2368,0.0
2,A,0.2558,0.4165,0.0455
3,A,0.0,0.2883,0.0
4,A,0.0046,0.0252,0.0142
5,A,0.2673,0.4222,0.0
6,A,0.1843,0.2597,0.0
7,A,0.1083,0.0023,0.0426
8,A,0.4539,0.9737,0.0
9,A,0.5161,0.1499,0.0
10,A,0.0,0.2471,0.0
11,B,0.0,0.0092,0.2338
12,B,0.0632,0.2431,1.0
13,B,0.0055,0.2844,0.0
14,B,0.0,0.2881,0.3632
15,B,0.0,0.3532,1.0
16,B,0.0,0.2596,1.0
17,B,0.0,0.2037,0.5746
18,B,0.044,0.1009,0.0896
19,B,0.2418,0.0945,0.2015
20,B,0.5632,0.3743,0.0
21,B,0.0467,0.1697,0.0
22,B,0.0027,0.1431,0.1393
